"Year","UTLA18CD","UTLA18NM","Pop_Est_Total","Grants_Inside_AEF","Grants_Outside_AEF","Grants_LSSG_ABG","Grants_RSG","Income_Rates","Police_Grant","Central_Gov_Funding_Total","Central_Gov_Funding_Total_PerCap"
2014,"E06000008","Blackburn with Darwen",147416,157405.154640738,61547.201845241,64,50149.9749054843,42111.0164332638,20374.8950254909,331652.242850218,2.24977100755833
2015,"E06000008","Blackburn with Darwen",147856,147499.893603667,57153.8425667939,38,37076.6166716208,43835.960687064,19378.6484247674,304982.961953913,2.06270264280051
2016,"E06000008","Blackburn with Darwen",148462,142057.389248199,56091.4649330834,27,30176.4743227643,44923.1414591509,19263.5223696527,292538.99233285,1.97046377074841
2017,"E06000008","Blackburn with Darwen",148772,146428.262469498,53657.3790514171,32,23364.9140823497,45878.0224354695,18966.995926862,288327.573965597,1.93804999573573
2018,"E06000008","Blackburn with Darwen",148942,151315.337017954,47228.6831956217,0,18757.7106747647,49250.413804979,18889.7781539078,285441.922847227,1.91646360897011
2002,"E06000009","Blackpool",142164,23442.4638934818,47236.0994594655,NA,68078.1375447511,49924.3212447784,9750.02637323636,198431.048515713,1.39578971128917
2003,"E06000009","Blackpool",142658,70466.9505221102,12797.6599293393,NA,82106.1622464046,45117.0601372308,10514.1812214044,221002.014056489,1.54917364645859
2004,"E06000009","Blackpool",143143,38714.5119488935,66511.4790380077,NA,90299.3157032239,42952.705861966,10741.3348340056,249219.347386097,1.74105158747614
2005,"E06000009","Blackpool",143688,40060.2091753516,73318.4257020667,NA,91884.2867469227,51427.2032384329,11136.7251956579,267826.850058432,1.86394723330015
2006,"E06000009","Blackpool",143733,115844.131036119,75420.6811546194,NA,12367.1330797112,64065.1158222469,10011.7274961047,277708.788588801,1.93211571865056
2007,"E06000009","Blackpool",143644,124266.890891378,84193.7104520573,NA,11368.3043566452,67738.9753004309,10200.242480775,297768.123481287,2.07295900616306
2008,"E06000009","Blackpool",142921,120671.705074853,85686.5865226454,17383,10680.9781280686,76727.5254631592,10499.9304515307,321649.725640257,2.25054208716884
2009,"E06000009","Blackpool",142578,124466.475785248,101968.951855441,18771,17082.8433206049,74010.6979687745,10761.0907320175,347061.059662086,2.43418381280483
2010,"E06000009","Blackpool",142753,125227.613839448,120440.32923328,22941,11980.26320629,82500.2500078913,11048.507660753,374137.963947662,2.62087636650482
2011,"E06000009","Blackpool",142080,123937.533451493,113137.650686549,997,23251.7628507591,75221.7090320572,11117.0469480837,347662.702968942,2.44695033058095
2012,"E06000009","Blackpool",142037,114851.745493806,113790.474348256,866,1792.63207578718,92461.7784428849,10244.3265718531,334006.956932587,2.35154894099838
2013,"E06000009","Blackpool",141603,115031.87858661,95010.2270273032,97,65419.3545164718,43450.7186565029,19119.7233078558,338128.902094744,2.38786538487704
2014,"E06000009","Blackpool",140898,94371.9113567776,90915.0647663128,60,54267.0352759057,44904.352712148,19474.0188263256,303992.38293747,2.15753511715901
2015,"E06000009","Blackpool",140162,90325.2650097197,85437.0314755368,31,40111.3840894364,43513.3120591675,18370.239425605,277788.232059465,1.9819083065272
2016,"E06000009","Blackpool",139983,78089.7903647439,80166.9911204741,19,32882.9448284646,45269.0921574296,18163.3391162122,254591.157587324,1.81872911415904
2017,"E06000009","Blackpool",139870,74536.2088269886,76652.8569618054,24,25534.2531571684,47721.984338781,17832.07673682,242301.380021563,1.73233273769617
2018,"E06000009","Blackpool",139305,82922.6928085163,78689.3236868451,27,20552.1378962825,49722.2093439231,17667.5521057198,249580.915841287,1.79161491576962
2002,"E08000001","Bolton",262367,65179.0592450739,56718.851597209,NA,128353.273084249,89031.0160874187,21183.2725936048,360465.472607555,1.37389790868347
2003,"E08000001","Bolton",263814,79021.0316585617,61344.2517570035,NA,156856.961919675,82809.8847178808,22795.8001075415,402827.930160662,1.52693916987219
2004,"E08000001","Bolton",264511,83564.6019244225,91981.6900373056,NA,174627.767833107,79139.5642403653,23211.5936091039,452525.217644304,1.7107992395186
2005,"E08000001","Bolton",265016,71590.9757524702,98156.1413803526,NA,176829.404134077,95188.3833053503,24099.6081035703,465864.51267582,1.7578731573785
2006,"E08000001","Bolton",266816,228102.894895169,102616.000405846,NA,21492.540348377,111338.788902744,22810.8843571135,486361.10890925,1.82283337172152
2007,"E08000001","Bolton",268319,243622.97975617,103372.179308317,NA,19765.6339998284,117773.504850846,23270.8705300777,507805.16844524,1.89254271387878
2008,"E08000001","Bolton",270497,247720.091512733,104064.304396133,23765.140956112,18234.2934018879,130989.389149724,24026.4704811857,548799.689897775,2.02885684461482
2009,"E08000001","Bolton",273049,244070.096327684,118758.849564726,26023.0298499943,28931.8778396209,125346.045998743,24719.1175411475,567849.017121916,2.07965975748645
2010,"E08000001","Bolton",275168,242619.143223806,124435.166197004,30767.8373986275,20142.020438486,138710.668264558,25371.5502075443,582046.385730027,2.11524009234368
2011,"E08000001","Bolton",277296,253909.071064644,130017.29369558,984,37260.0233389166,120543.764445037,25657.5001552849,568371.652699463,2.04969293714826
2012,"E08000001","Bolton",279084,250296.003972419,133965.12888649,861,2820.93639243986,145537.129727172,23785.9820158386,557266.18099436,1.99676864669547
2013,"E08000001","Bolton",280271,267159.534817576,117211.519893336,35,93844.988976891,61987.2496543302,46195.9252811423,586434.218623276,2.09238279601984
2014,"E08000001","Bolton",280788,263105.638507496,116995.780505494,86,77144.0273394276,62987.2899056196,46991.8172697714,567310.553527808,2.02042307195396
2015,"E08000001","Bolton",281828,269579.6874471,108299.150408295,26,56314.4838593952,65990.9834369214,44624.2308874637,544834.536039175,1.93321648679044
2016,"E08000001","Bolton",283536,251681.8023449,104697.917358903,0,45009.8164902454,65652.6111453933,44222.8816632648,511265.029002706,1.8031750077687
2017,"E08000001","Bolton",284813,234389.851993301,99276.2377962833,0,20238.8466906698,127532.317594082,25321.7856716399,506759.039745977,1.77926934425738
2018,"E08000001","Bolton",285372,221944.588445297,103639.793098409,0,2022.9715025658,126088.490909556,43428.1392093847,497123.983165213,1.742020882095
2002,"E06000028","Bournemouth",164600,28240.0191818125,42619.6441210291,NA,47007.8460191875,54360.495740871,8851.67218723005,181079.67725013,1.10011954586956
2003,"E06000028","Bournemouth",164207,42094.2155517561,46807.4769409418,NA,56450.2401667023,51860.7667393318,9285.76137778728,206498.460776519,1.25754968287904
2004,"E06000028","Bournemouth",163949,40652.0493896799,64824.9049702264,NA,62052.5554502558,49540.2256173888,9349.93195900604,226419.667386557,1.3810371968512
2005,"E06000028","Bournemouth",165998,40147.0112393292,73693.5461578046,NA,58747.3798927104,59100.7597121085,9774.59656137432,241463.293563327,1.45461567948606
2006,"E06000028","Bournemouth",166716,110883.946206216,76367.7415802283,NA,8990.7133025177,46573.9090775346,8941.18781516785,251757.497981665,1.51009799888232
2007,"E06000028","Bournemouth",170098,118189.028928863,79108.0860655114,NA,8168.54991550536,48676.450981342,9227.03802605009,263369.153917271,1.5483377459892
2008,"E06000028","Bournemouth",171973,115327.223205999,85740.6212311428,8164,7527.44716690295,54072.051695238,9363.60319865574,280194.946497938,1.62929614822058
2009,"E06000028","Bournemouth",174251,118651.661786548,100235.20182474,8228,11758.5753872268,50943.4107786972,9702.51627413537,299519.366051347,1.71889610992963
